id,name,nickname,gender,date_of_birth,weight,height,team,team.shortname,team.shield,shirt_number,position,photo,aerial_duels_won,appearances,assists_intentional,attempts_from_set_pieces,blocks,catches,clean_sheets,duels_won,goals,goals_conceded,interceptions,key_passes_attempt_assists,offsides,open_play_passes,penalties_saved,red_cards_2nd_yellow,saves_made,shots_on_target_inc_goals,straight_red_cards,successful_crosses_open_play,successful_dribbles,successful_long_passes,successful_passes_opposition_half,successful_passes_own_half,successful_short_passes,total_clearances,total_fouls_conceded,total_losses_of_possession,total_passes,total_tackles,total_touches_in_opposition_box,unsuccessful_dribbles,unsuccessful_long_passes,unsuccessful_short_passes,yellow_cards,predicted_position,score
6479.0,Alexander Isak,Isak,male,1999-09-21T00:00:00+00:00,70.0,190.0,Newcastle,NEW,https://assets.laliga.com/assets/2021/03/11/medium/b8127f91e409ae9ce07f12d48432b7c3.png,14.0,Forward,,17.0,13.0,0.0,0.0,1.0,0.0,0.0,47.0,8.0,8.0,2.0,11.0,4.0,152.0,0.0,0.0,0.0,18.0,0.0,1.0,11.0,3.0,104.0,17.0,117.0,7.0,11.0,100.0,161.0,10.0,59.0,17.0,1.0,40.0,2.0,Defender,21.11
532.0,Sandro Ramírez,Sandro,male,1995-07-09T00:00:00+00:00,71.0,175.0,UD Las Palmas,LPA,https://assets.laliga.com/assets/2019/06/07/medium/las-palmas.png,9.0,Forward,https://assets.laliga.com/squad/2022/t407/p108438/512x556/p108438_t407_2022_1_001_000.png,4.0,15.0,2.0,1.0,1.0,0.0,0.0,41.0,3.0,8.0,1.0,14.0,11.0,244.0,0.0,0.0,0.0,17.0,0.0,3.0,11.0,5.0,184.0,55.0,227.0,3.0,9.0,87.0,261.0,5.0,61.0,15.0,0.0,29.0,4.0,Forward,13.61
6130.0,Federico Valverde,Valverde,male,1998-07-22T00:00:00+00:00,78.0,182.0,Real Madrid,RMA,https://assets.laliga.com/assets/2019/06/07/medium/real-madrid.png,15.0,Midfielder,https://assets.laliga.com/squad/2022/t186/p223255/512x556/p223255_t186_2022_1_001_000.png,26.0,27.0,2.0,2.0,4.0,0.0,5.0,97.0,7.0,20.0,16.0,35.0,3.0,1267.0,0.0,0.0,0.0,19.0,0.0,6.0,27.0,47.0,802.0,325.0,1074.0,14.0,10.0,213.0,1274.0,30.0,43.0,8.0,27.0,126.0,2.0,Forward,11.740000000000009
32515.0,Linda Caicedo,Linda Caicedo,female,2005-02-22T00:00:00+00:00,54.0,163.0,Real Madrid CF,RMA,https://assets.laliga.com/assets/2019/06/07/medium/real-madrid.png,19.0,Forward,,0.0,5.0,0.0,0.0,0.0,0.0,2.0,22.0,1.0,0.0,2.0,9.0,2.0,151.0,0.0,0.0,0.0,2.0,0.0,1.0,7.0,3.0,99.0,42.0,137.0,0.0,2.0,32.0,151.0,7.0,21.0,7.0,0.0,11.0,0.0,Forward,10.509999999999998
2407.0,Eden Hazard,Hazard,male,1991-01-07T00:00:00+00:00,74.0,175.0,Real Madrid,RMA,https://assets.laliga.com/assets/2019/06/07/medium/real-madrid.png,7.0,Forward,https://assets.laliga.com/squad/2022/t186/p42786/512x556/p42786_t186_2022_1_001_000.png,0.0,4.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,6.0,0.0,78.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,61.0,10.0,69.0,0.0,1.0,16.0,81.0,0.0,11.0,0.0,0.0,10.0,0.0,Midfielder,8.809999999999999
2023.0,Asier Villalibre,Villalibre,male,1997-09-30T00:00:00+00:00,86.0,184.0,Deportivo Alavés,ALA,https://assets.laliga.com/assets/2020/09/01/medium/27002754a98bf535807fe49a24cc63ea.png,12.0,Forward,,18.0,9.0,0.0,0.0,0.0,0.0,1.0,34.0,3.0,4.0,0.0,1.0,1.0,66.0,0.0,0.0,0.0,10.0,0.0,0.0,6.0,0.0,33.0,15.0,48.0,3.0,7.0,51.0,72.0,1.0,39.0,4.0,1.0,23.0,1.0,Midfielder,8.219999999999999
2023.0,Asier Villalibre,Villalibre,male,1997-09-30T00:00:00+00:00,86.0,184.0,Deportivo Alavés,ALA,https://assets.laliga.com/assets/2020/09/01/medium/27002754a98bf535807fe49a24cc63ea.png,12.0,Forward,,18.0,9.0,0.0,0.0,0.0,0.0,1.0,34.0,3.0,4.0,0.0,1.0,1.0,66.0,0.0,0.0,0.0,10.0,0.0,0.0,6.0,0.0,33.0,15.0,48.0,3.0,7.0,51.0,72.0,1.0,39.0,4.0,1.0,23.0,1.0,Defender,8.219999999999999
14920.0,Miguel Rodriguez,Miguel,male,2003-04-29T00:00:00+00:00,,,RC Celta,CEL,https://assets.laliga.com/assets/2019/06/07/medium/celta.png,29.0,Forward,https://assets.laliga.com/squad/2022/t176/p494932/512x556/p494932_t176_2022_1_001_000.png,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,6.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,6.56
30683.0,Álvaro Rodríguez,Álvaro,male,2004-07-14T00:00:00+00:00,81.0,192.0,Real Madrid,RMA,https://assets.laliga.com/assets/2019/06/07/medium/real-madrid.png,39.0,Forward,,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,0.0,2.0,2.0,7.0,1.0,1.0,0.0,0.0,2.0,0.0,Defender,5.57
24125.0,Carla Camacho,Carla Camacho,female,2005-05-02T00:00:00+00:00,,172.0,Real Madrid CF,RMA,https://assets.laliga.com/assets/2019/06/07/medium/real-madrid.png,27.0,Forward,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,1.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,Forward,5.03
